date,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage
09/04/2013,8.4,9.2,7.6,8.4,8.4,8.4,8.4,8.4,1.269,1.269,1.269,1.269,1.269
10/04/2013,8.4,9.2,7.6,8.4,8.4,8.4,8.4,8.4,1.269,1.269,1.269,1.269,1.269
11/04/2013,8.4,9.2,7.6,8.4,8.4,8.4,8.4,8.4,1.269,1.269,1.269,1.269,1.269
12/04/2013,8.4,9.2,7.6,8.4,8.4,8.4,8.4,8.4,1.269,1.269,1.269,1.269,1.269
15/04/2013,8.4,9.2,7.6,8.4,8.4,8.4,8.4,8.4,1.269,1.269,1.269,1.269,1.269
16/04/2013,8.4,9.2,7.6,8.4,8.4,8.4,8.4,8.4,1.269,1.269,1.269,1.269,1.269
17/04/2013,8.4,9.2,7.6,8.4,8.4,8.4,8.4,8.4,1.269,1.269,1.269,1.269,1.269
18/04/2013,8.4,9.2,7.6,8.4,8.4,8.4,8.4,8.4,1.269,1.269,1.269,1.269,1.269
22/04/2013,8.4,9.2,7.6,8.4,8.4,8.4,8.4,8.4,1.269,1.269,1.269,1.269,1.269
23/04/2013,8.4,9.2,7.6,8.4,8.4,8.4,8.4,8.4,1.269,1.269,1.269,1.269,1.269
24/04/2013,8.4,9.2,7.6,8.4,8.4,8.4,8.4,8.4,1.269,1.269,1.269,1.269,1.269
25/04/2013,8.4,9.2,7.6,8.4,8.4,8.4,8.4,8.4,1.269,1.269,1.269,1.269,1.269
26/04/2013,8.4,9.2,7.6,8.4,8.4,8.4,8.4,8.4,1.269,1.269,1.269,1.269,1.269
02/05/2013,8.4,9.2,7.6,8.4,8.4,8.4,8.4,8.4,1.269,1.269,1.269,1.269,1.269
03/05/2013,8.4,9.2,7.6,8.4,8.4,8.4,8.4,8.4,1.269,1.269,1.269,1.269,1.269
06/05/2013,8.4,9.2,7.6,8.4,8.4,8.4,8.4,8.4,1.269,1.269,1.269,1.269,1.269
07/05/2013,8.4,9.2,7.6,8.4,8.4,8.4,8.4,8.4,1.269,1.269,1.269,1.269,1.269
08/05/2013,8.4,9.2,7.6,8.4,8.4,8.4,8.4,8.4,1.269,1.269,1.269,1.269,1.269
09/05/2013,8.4,9.2,7.6,8.4,8.4,8.4,8.4,8.4,1.269,1.269,1.269,1.269,1.269
10/05/2013,8.4,9.2,7.6,8.4,8.4,8.4,8.4,8.4,1.269,1.269,1.269,1.269,1.269
13/05/2013,8.4,9.2,7.6,8.4,8.4,8.4,8.4,8.4,1.269,1.269,1.269,1.269,1.269
14/05/2013,8.4,9.2,7.6,7.6,7.6,7.6,7.6,7.6,1.149,1.149,1.149,1.149,1.149
15/05/2013,7.6,8.3,6.9,7.6,7.6,7.6,7.6,7.6,1.149,1.149,1.149,1.149,1.149
16/05/2013,7.6,8.3,6.9,6.9,6.9,6.9,6.9,6.9,1.043,1.043,1.043,1.043,1.043
17/05/2013,6.9,7.5,6.3,6.9,6.9,6.9,6.9,6.9,1.043,1.043,1.043,1.043,1.043
20/05/2013,6.9,7.5,6.3,6.9,6.9,6.9,6.9,6.9,1.043,1.043,1.043,1.043,1.043
21/05/2013,6.9,7.5,6.3,6.9,6.9,6.9,6.9,6.9,1.043,1.043,1.043,1.043,1.043
22/05/2013,6.9,7.5,6.3,6.3,6.3,6.3,6.3,6.3,0.952,0.952,0.952,0.952,0.952
23/05/2013,6.3,6.9,5.7,6.3,6.3,6.3,6.3,6.3,0.952,0.952,0.952,0.952,0.952
24/05/2013,6.3,6.9,5.7,6.3,6.3,6.3,6.3,6.3,0.952,0.952,0.952,0.952,0.952
27/05/2013,6.3,6.9,5.7,6.3,6.3,6.3,6.3,6.3,0.952,0.952,0.952,0.952,0.952
28/05/2013,6.3,6.9,5.7,6.2,6.2,6.2,6.2,6.2,0.937,0.937,0.937,0.937,0.937
29/05/2013,6.2,6.8,5.6,6.2,6.2,6.2,6.2,6.2,0.937,0.937,0.937,0.937,0.937
30/05/2013,6.2,6.8,5.6,6.2,6.2,6.2,6.2,6.2,0.937,0.937,0.937,0.937,0.937
31/05/2013,6.2,6.8,5.6,5.6,5.6,5.6,5.6,5.6,0.847,0.847,0.847,0.847,0.847
03/06/2013,5.6,6.1,5.1,6.0,6.0,5.6,5.6,5.6,0.907,0.907,0.847,0.847,0.847
04/06/2013,5.6,6.1,5.1,5.6,5.6,5.6,5.6,5.6,0.847,0.847,0.847,0.847,0.847
05/06/2013,5.6,6.1,5.1,5.7,5.7,5.7,5.7,5.7,0.862,0.862,0.862,0.862,0.862
06/06/2013,5.7,6.2,5.2,5.9,6.1,5.9,6.1,6.1,0.892,0.922,0.892,0.922,0.922
07/06/2013,6.1,6.7,5.5,6.3,6.3,6.2,6.2,6.2,0.952,0.952,0.937,0.937,0.937
10/06/2013,6.2,6.8,5.6,6.4,6.4,6.4,6.4,6.4,0.967,0.967,0.967,0.967,0.967
11/06/2013,6.4,7.0,5.8,6.4,6.8,6.4,6.8,6.8,0.967,1.028,0.967,1.028,1.028
12/06/2013,6.8,7.4,6.2,6.8,6.8,6.8,6.8,6.8,1.028,1.028,1.028,1.028,1.028
13/06/2013,6.8,7.4,6.2,7.3,7.3,7.3,7.3,7.3,1.104,1.104,1.104,1.104,1.104
14/06/2013,7.3,8.0,6.6,7.9,7.9,7.2,7.4,7.4,1.194,1.194,1.089,1.119,1.119
17/06/2013,7.4,8.1,6.7,7.3,7.3,7.3,7.3,7.3,1.104,1.104,1.104,1.104,1.104
18/06/2013,7.3,8.0,6.6,7.3,7.3,7.3,7.3,7.3,1.104,1.104,1.104,1.104,1.104
19/06/2013,7.3,8.0,6.6,7.3,7.3,7.3,7.3,7.3,1.104,1.104,1.104,1.104,1.104
20/06/2013,7.3,8.0,6.6,7.3,7.3,7.3,7.3,7.3,1.104,1.104,1.104,1.104,1.104
21/06/2013,7.3,8.0,6.6,7.7,7.8,7.6,7.6,7.6,1.163,1.178,1.149,1.149,1.149
24/06/2013,7.6,8.3,6.9,7.6,7.6,7.6,7.6,7.6,1.149,1.149,1.149,1.149,1.149
25/06/2013,7.6,8.3,6.9,7.6,7.6,7.6,7.6,7.6,1.149,1.149,1.149,1.149,1.149
26/06/2013,7.6,8.3,6.9,8.0,8.0,8.0,8.0,8.0,1.21,1.21,1.21,1.21,1.21
27/06/2013,8.0,8.8,7.2,8.0,8.0,8.0,8.0,8.0,1.21,1.21,1.21,1.21,1.21
28/06/2013,8.0,8.8,7.2,8.0,8.0,8.0,8.0,8.0,1.21,1.21,1.21,1.21,1.21
01/07/2013,8.0,8.8,7.2,8.0,8.0,8.0,8.0,8.0,1.21,1.21,1.21,1.21,1.21
02/07/2013,8.0,8.8,7.2,8.0,8.0,8.0,8.0,8.0,1.21,1.21,1.21,1.21,1.21
03/07/2013,8.0,8.8,7.2,8.0,8.0,8.0,8.0,8.0,1.21,1.21,1.21,1.21,1.21
04/07/2013,8.0,8.8,7.2,8.0,8.0,8.0,8.0,8.0,1.21,1.21,1.21,1.21,1.21
05/07/2013,8.0,8.8,7.2,8.0,8.0,8.0,8.0,8.0,1.21,1.21,1.21,1.21,1.21
08/07/2013,8.0,8.8,7.2,8.0,8.0,8.0,8.0,8.0,1.21,1.21,1.21,1.21,1.21
09/07/2013,8.0,8.8,7.2,8.0,8.0,8.0,8.0,8.0,1.21,1.21,1.21,1.21,1.21
10/07/2013,8.0,8.8,7.2,8.0,8.0,8.0,8.0,8.0,1.21,1.21,1.21,1.21,1.21
11/07/2013,8.0,8.8,7.2,8.0,8.0,8.0,8.0,8.0,1.21,1.21,1.21,1.21,1.21
12/07/2013,8.0,8.8,7.2,8.0,8.0,8.0,8.0,8.0,1.21,1.21,1.21,1.21,1.21
15/07/2013,8.0,8.8,7.2,8.0,8.0,8.0,8.0,8.0,1.21,1.21,1.21,1.21,1.21
16/07/2013,8.0,8.8,7.2,8.0,8.0,8.0,8.0,8.0,1.21,1.21,1.21,1.21,1.21
17/07/2013,8.0,8.8,7.2,8.0,8.0,8.0,8.0,8.0,1.21,1.21,1.21,1.21,1.21
18/07/2013,8.0,8.8,7.2,8.0,8.0,8.0,8.0,8.0,1.21,1.21,1.21,1.21,1.21
19/07/2013,8.0,8.8,7.2,8.0,8.0,8.0,8.0,8.0,1.21,1.21,1.21,1.21,1.21
22/07/2013,8.0,8.8,7.2,8.0,8.0,8.0,8.0,8.0,1.21,1.21,1.21,1.21,1.21
23/07/2013,8.0,8.8,7.2,8.0,8.0,8.0,8.0,8.0,1.21,1.21,1.21,1.21,1.21
